Lab Code,A_RBC,A_WBC,A_PLT,A_Hb,A_Hct,A_MCV,A_MCH,A_MCHC,B_RBC,B_WBC,B_PLT,B_Hb,B_Hct,B_MCV,B_MCH,B_MCHC,Brand code,Model code
109,4.33,9.23,222.0,11.7,37.4,86.3,24.7,28.6,5.46,23.06,575.0,16.4,50.1,91.7,26.4,28.7,600,603
271,4.16,8.46,225.0,10.7,35.1,84.4,25.7,30.5,5.23,21.35,584.0,14.8,45.9,89.7,28.3,31.6,600,603
470,4.23,9.12,219.0,11.4,36.6,86.5,27.0,31.1,5.12,22.28,566.0,15.1,57.9,113.0,29.5,26.1,600,603
483,4.33,7.27,221.0,11.0,36.8,85.0,25.3,29.8,5.44,18.05,591.0,14.9,49.0,90.2,27.3,30.3,600,603
622,4.16,8.75,211.0,11.0,36.3,87.2,26.4,30.3,5.12,22.49,558.0,15.0,46.7,91.2,29.3,32.1,600,603
731,4.19,8.47,218.0,10.9,36.0,85.8,26.0,30.3,5.23,21.92,590.0,14.9,48.5,91.8,28.2,30.7,600,603
733,4.21,8.76,225.0,10.9,36.1,85.7,25.9,30.2,5.28,21.21,576.0,14.5,47.7,90.4,27.5,30.4,600,603
738,4.39,8.8,230.0,10.7,36.9,84.0,24.4,29.0,5.36,22.15,571.0,14.5,47.7,88.9,27.1,30.4,600,603
751,4.26,8.68,212.0,10.8,36.1,84.7,25.4,29.9,5.35,21.66,555.0,14.7,47.7,89.1,27.5,30.8,600,603
760,4.22,7.71,220.0,11.3,35.3,83.6,26.8,32.0,5.3,18.96,576.0,15.4,46.6,88.0,29.1,33.1,600,603
783,4.12,9.27,204.0,10.8,34.2,83.0,26.2,31.6,5.15,23.43,521.0,14.5,45.5,88.4,28.2,31.9,600,603
784,4.22,8.85,217.0,10.5,36.4,86.2,24.9,28.8,5.32,22.03,557.0,14.2,48.5,91.1,26.7,29.3,600,603
785,4.12,7.93,222.0,10.7,35.4,85.9,26.0,30.2,5.14,20.03,575.0,14.6,46.7,90.6,28.3,31.3,600,603
786,4.57,8.91,501.0,11.1,42.9,93.8,24.3,25.9,5.43,22.58,703.0,15.2,48.5,89.4,28.0,31.3,600,603
788,4.25,8.84,240.0,11.0,35.7,83.9,25.9,30.8,5.36,21.79,604.0,14.7,48.2,89.9,27.4,30.5,600,603
816,4.22,8.6,220.0,11.2,35.7,84.6,26.5,31.4,5.29,21.6,579.0,15.2,47.5,89.7,28.7,32.0,600,603
826,4.15,8.78,227.0,11.6,35.9,86.4,28.0,32.3,5.14,21.75,565.0,15.5,47.0,91.5,30.2,33.0,600,603
877,4.33,9.86,279.0,11.0,36.9,85.2,25.4,29.8,5.29,22.93,638.0,14.9,47.9,90.5,28.2,31.1,600,603
965,4.1,8.66,227.0,10.9,34.4,83.9,26.6,31.7,5.14,20.08,707.0,14.4,41.5,80.8,28.0,34.7,600,603
1004,4.09,8.15,207.0,10.5,34.3,84.1,25.8,30.7,4.98,20.73,522.0,14.3,43.9,88.3,28.8,32.6,600,603
1014,4.12,8.97,214.0,10.6,34.7,84.3,25.7,30.5,5.07,21.97,543.0,14.2,45.5,89.7,28.0,31.2,600,603
1024,4.3,8.67,228.0,10.7,37.1,86.2,24.9,28.8,5.31,21.95,586.0,14.5,48.2,90.7,27.3,30.1,600,603
1027,4.21,8.48,219.0,10.9,36.1,85.7,25.9,30.2,5.22,20.89,587.0,14.9,47.8,91.5,28.5,31.2,600,603
1082,4.2,9.12,231.0,11.0,36.0,86.4,26.2,30.0,5.22,19.78,564.0,14.3,47.0,90.4,27.4,30.0,600,603
