Lab Code,A_RBC,A_WBC,A_PLT,A_Hb,A_Hct,A_MCV,A_MCH,A_MCHC,B_RBC,B_WBC,B_PLT,B_Hb,B_Hct,B_MCV,B_MCH,B_MCHC,Brand code,Model code
188,4.1,8.72,204.0,10.8,33.3,81.2,26.3,32.3,5.11,21.71,560.0,14.6,43.7,85.4,28.6,33.5,600,601
503,4.06,8.82,219.0,10.5,35.5,87.4,25.9,29.6,5.0,22.54,577.0,14.2,46.8,93.6,28.4,30.3,600,601
843,4.17,8.37,206.0,10.8,35.1,84.1,25.9,30.8,5.21,21.16,551.0,14.7,45.7,87.4,28.2,32.3,600,601
1137,4.11,8.6,208.0,10.7,33.1,80.4,26.1,32.5,5.12,21.74,580.0,14.4,43.1,84.2,28.2,33.5,600,601
