Lab Code,A_RBC,A_WBC,A_PLT,A_Hb,A_Hct,A_MCV,A_MCH,A_MCHC,B_RBC,B_WBC,B_PLT,B_Hb,B_Hct,B_MCV,B_MCH,B_MCHC,Brand code,Model code
8,4.1,8.04,204.0,10.8,35.4,86.4,26.3,30.5,5.08,19.99,541.0,14.5,46.4,91.4,28.5,31.2,600,606
23,4.17,7.81,212.0,10.8,35.7,85.6,26.0,30.4,5.17,20.48,581.0,14.6,46.9,90.7,28.3,31.2,600,606
30,10.8,7.89,215.0,10.8,36.0,87.5,26.2,30.0,5.03,18.37,623.0,14.5,61.2,121.6,28.8,23.7,600,606
59,4.06,7.52,205.0,10.6,34.4,84.5,26.1,30.9,5.16,17.95,591.0,14.6,46.4,90.0,28.2,31.4,600,606
74,4.14,7.89,225.0,10.8,36.7,88.5,26.2,29.6,5.15,18.46,574.0,14.8,47.4,92.0,28.7,31.2,600,606
105,4.15,7.99,197.0,10.8,35.8,86.4,26.0,30.1,5.22,18.44,578.0,14.5,47.6,91.1,27.8,30.5,600,606
114,4.09,8.2,223.0,11.0,34.9,85.3,26.9,30.9,5.09,20.65,571.0,14.7,46.1,90.5,28.9,31.9,600,606
126,4.09,8.09,219.0,10.9,35.6,87.2,26.6,30.5,5.16,19.21,567.0,14.9,48.1,93.1,28.8,30.9,600,606
137,4.2,8.66,219.0,10.9,36.9,87.9,25.9,29.5,5.22,2.78,603.0,14.8,48.4,92.8,28.3,30.6,600,606
140,4.14,7.38,218.0,10.8,36.3,87.6,26.1,29.7,5.18,17.67,563.0,14.6,48.1,92.8,28.1,30.3,600,606
149,4.02,7.93,227.0,10.8,36.1,89.8,26.9,29.9,5.24,21.56,561.0,15.2,48.0,91.6,29.0,31.7,600,606
159,4.15,0.06,208.0,10.7,49.9,120.2,25.8,21.4,5.21,0.15,554.0,14.8,47.7,91.6,28.4,31.0,600,606
185,4.12,0.1,220.0,10.8,36.1,87.6,26.3,30.0,5.08,0.6,554.0,14.5,47.4,93.3,28.5,30.6,600,606
196,4.05,9.24,211.0,10.8,35.2,86.9,26.6,30.7,5.27,22.33,579.0,15.3,48.5,92.0,29.0,31.5,600,606
209,4.13,0.63,191.0,11.0,35.3,85.5,26.6,31.2,5.11,1.5,547.0,14.8,46.1,90.3,29.0,32.0,600,606
226,4.04,9.45,232.0,10.8,34.1,84.5,26.6,31.7,5.08,23.25,602.0,14.6,45.5,89.6,28.8,32.1,600,606
230,4.05,1.33,189.0,10.5,34.7,85.7,26.0,30.3,5.13,0.19,558.0,14.5,46.5,90.7,28.2,31.1,600,606
236,4.03,7.75,211.0,11.0,35.2,87.4,27.2,31.3,5.09,19.17,564.0,15.1,47.3,93.0,29.7,31.9,600,606
238,4.02,1.21,212.0,10.7,34.9,86.8,26.5,30.7,5.1,0.52,594.0,14.6,46.8,91.8,28.7,31.2,600,606
246,4.1,0.2,205.0,10.8,35.5,86.3,26.4,30.5,5.16,0.36,570.0,14.6,47.5,92.3,28.3,30.0,600,606
259,4.04,7.91,223.0,10.8,35.1,87.0,26.8,30.9,5.09,19.44,580.0,14.7,46.6,91.6,29.0,31.6,600,606
277,4.17,,198.0,10.9,36.7,88.1,26.1,29.7,5.12,,553.0,14.5,47.7,93.2,28.4,30.4,600,606
290,4.02,7.52,215.0,10.8,35.5,88.4,26.8,30.4,5.07,0.1,569.0,14.7,47.4,93.5,29.0,31.0,600,606
316,4.02,8.8,202.0,10.8,34.4,85.5,26.9,31.4,5.03,21.27,557.0,14.7,45.5,90.4,29.2,32.3,600,606
323,4.11,2.3,190.0,10.7,34.6,84.2,26.1,31.0,5.18,1.78,550.0,14.6,46.2,89.2,28.1,31.5,600,606
338,4.03,8.17,212.0,10.9,34.8,86.5,27.1,31.3,5.01,20.16,560.0,14.7,45.9,91.7,29.4,32.0,600,606
360,1.19,3.21,77.0,3.4,14.4,120.9,28.3,23.6,5.12,0.1,550.0,14.7,47.0,91.7,28.7,31.3,600,606
382,4.24,8.34,219.0,10.9,42.2,99.5,25.6,25.7,5.19,19.65,563.0,14.7,48.7,92.7,28.1,30.3,600,606
391,3.99,8.29,210.0,10.8,34.4,86.1,27.1,31.4,5.04,19.23,523.0,14.7,45.8,90.9,29.2,32.2,600,606
419,4.13,7.53,204.0,10.6,35.1,85.0,25.5,30.2,5.03,21.32,571.0,14.6,45.6,90.7,29.1,32.0,600,606
447,3.78,7.89,196.0,10.7,46.6,123.3,28.2,22.9,4.95,18.42,542.0,14.6,46.2,93.3,29.5,31.6,600,606
472,3.98,1.04,191.0,10.6,35.0,88.0,26.7,30.3,5.03,0.55,565.0,14.6,46.6,92.4,29.0,31.4,600,606
478,4.04,6.34,207.0,10.7,34.2,84.7,26.5,31.3,5.05,3.64,549.0,14.5,45.1,89.4,28.7,32.1,600,606
484,4.18,7.45,210.0,10.8,35.5,85.3,26.0,30.4,5.21,18.0,563.0,14.7,46.8,90.2,28.3,31.4,600,606
485,4.1,0.22,216.0,11.0,35.7,87.2,26.8,30.8,5.21,0.17,581.0,15.1,48.2,92.4,29.0,31.3,600,606
491,4.02,7.95,216.0,10.7,34.5,85.8,26.6,31.1,5.03,19.92,552.0,14.4,45.5,90.4,28.7,31.7,600,606
493,4.13,7.9,220.0,10.8,35.7,86.6,26.3,30.4,5.14,20.74,576.0,14.7,47.1,91.7,28.6,31.2,600,606
511,4.14,8.38,216.0,10.8,35.5,85.8,26.1,30.4,5.25,19.67,597.0,14.9,47.4,90.2,28.4,31.5,600,606
513,4.07,7.92,208.0,11.0,35.2,86.6,27.1,31.3,5.03,19.43,538.0,14.8,46.0,91.4,29.4,32.1,600,606
527,4.09,7.83,200.0,10.7,35.3,86.5,26.1,30.2,5.15,17.57,563.0,14.6,47.1,91.4,28.3,31.0,600,606
530,4.14,7.75,204.0,10.7,36.0,87.0,25.8,29.6,5.18,19.2,577.0,14.8,47.7,92.1,28.5,30.9,600,606
539,4.18,7.9,217.0,11.0,36.3,86.9,26.4,30.4,5.17,19.37,565.0,14.8,47.6,92.2,28.5,31.0,600,606
563,4.15,7.7,214.0,10.8,35.8,86.5,26.0,30.1,5.17,17.57,563.0,14.7,47.2,91.4,28.3,31.0,600,606
565,4.29,8.23,201.0,10.8,37.1,86.5,25.3,29.2,5.34,19.07,568.0,14.8,48.9,91.6,27.7,30.3,600,606
566,4.06,7.7,200.0,10.6,34.9,86.0,26.1,30.3,5.17,18.14,403.0,14.6,48.4,93.7,28.3,30.1,600,606
582,4.07,1.32,222.0,11.0,36.0,89.0,27.0,30.0,5.1,0.13,599.0,15.0,47.0,94.0,29.0,31.0,600,606
597,3.97,7.59,206.0,10.9,34.2,86.2,27.5,31.9,4.92,19.7,522.0,14.7,45.3,92.0,29.9,32.5,600,606
604,4.03,7.55,206.0,10.7,34.9,86.6,26.5,30.7,5.15,0.11,569.0,14.8,47.6,92.5,28.7,31.1,600,606
686,4.19,8.07,215.0,10.7,36.0,85.9,25.6,29.8,5.14,19.08,586.0,14.7,46.9,91.4,28.7,31.4,600,606
699,4.01,8.13,221.0,10.7,35.9,89.6,26.8,29.9,5.16,20.17,590.0,14.9,46.1,89.4,28.8,32.2,600,606
702,4.18,7.04,230.0,11.0,36.2,86.6,26.2,30.3,5.22,16.84,584.0,14.8,48.0,92.0,28.3,30.7,600,606
711,4.21,7.31,230.0,10.8,35.9,85.3,25.7,30.1,5.23,,609.0,14.7,47.1,90.0,28.1,31.2,600,606
734,4.1,8.32,202.0,10.8,35.4,86.3,26.2,30.4,5.26,20.28,576.0,14.9,48.0,91.4,28.3,31.0,600,606
735,3.95,1.81,190.0,10.7,33.6,85.1,27.1,31.9,5.01,0.66,551.0,14.6,45.3,90.5,29.2,32.2,600,606
736,4.13,7.87,218.0,10.8,36.3,87.9,26.2,29.8,5.19,19.19,566.0,14.7,48.2,92.9,28.4,30.5,600,606
756,4.03,7.1,200.0,10.5,34.7,86.2,26.2,30.3,5.12,20.78,552.0,14.5,47.3,92.3,28.3,30.7,600,606
759,4.03,8.7,198.0,10.8,34.8,86.3,26.7,31.0,5.14,19.87,543.0,14.7,46.6,90.6,28.7,31.5,600,606
764,4.07,0.2,219.0,10.9,35.3,86.8,26.8,30.9,5.13,0.21,588.0,14.7,47.0,91.7,28.7,31.3,600,606
778,4.22,7.45,207.0,10.7,37.4,88.6,25.4,28.6,5.41,20.53,570.0,14.8,51.0,94.2,27.3,29.0,600,606
793,4.12,7.7,208.0,10.7,35.3,85.6,25.8,30.2,5.15,17.43,570.0,14.5,46.8,90.8,28.2,31.0,600,606
870,4.08,8.11,220.0,10.8,34.7,85.0,26.4,31.1,5.03,21.32,571.0,14.6,45.6,90.7,29.1,32.0,600,606
893,4.01,0.36,228.0,10.7,34.6,86.3,26.7,30.9,5.06,0.6,596.0,14.7,46.4,91.7,29.0,31.7,600,606
909,4.05,8.32,218.0,11.0,35.5,87.6,27.1,30.9,5.05,21.37,576.0,14.8,47.0,93.1,29.3,31.5,600,606
917,4.07,8.12,198.0,10.8,35.2,86.5,26.5,30.6,5.13,21.85,551.0,14.6,47.9,93.5,28.5,30.5,600,606
953,3.95,7.29,223.0,10.8,35.1,88.9,27.3,30.8,5.05,20.18,578.0,14.8,47.8,93.4,29.4,31.4,600,606
958,4.02,7.31,211.0,10.7,34.9,86.7,26.6,30.7,5.09,20.02,590.0,14.6,46.8,91.9,28.7,31.2,600,606
962,4.08,7.14,158.0,10.9,34.9,85.7,26.6,31.1,4.99,16.72,490.0,14.6,45.3,90.8,29.2,32.2,600,606
968,4.11,7.32,209.0,10.6,35.8,87.1,25.7,29.6,5.1,19.22,568.0,14.4,47.0,92.2,28.2,30.5,600,606
971,4.05,1.39,202.0,10.9,45.0,111.1,26.9,24.2,5.14,0.16,574.0,15.1,46.5,90.6,29.3,32.4,600,606
986,4.1,8.05,218.0,10.8,35.5,86.4,26.4,30.6,5.13,19.78,534.0,14.6,47.0,91.6,28.5,31.2,600,606
1003,4.07,8.1,210.0,10.7,35.3,86.8,26.4,30.4,5.13,19.87,577.0,14.8,47.1,91.9,28.9,31.4,600,606
1006,4.23,8.01,215.0,10.8,36.9,86.8,25.5,29.3,5.32,19.65,599.0,14.7,49.0,91.9,27.8,30.0,600,606
1064,4.08,7.53,211.0,10.9,36.6,89.7,26.7,29.8,4.48,17.26,585.0,14.8,59.5,132.7,33.0,24.8,600,606
1072,4.13,7.49,244.0,10.7,47.2,114.2,26.0,22.8,5.1,19.52,598.0,14.7,46.4,90.9,28.9,31.7,600,606
1081,4.15,7.55,197.0,10.9,35.5,85.5,26.3,30.7,4.94,19.57,568.0,14.8,62.6,123.6,29.9,24.4,600,606
1090,4.08,7.78,194.0,10.8,36.0,88.3,26.4,29.9,5.04,19.99,536.0,14.5,46.7,92.6,28.8,31.1,600,606
1105,3.97,7.33,218.0,10.6,34.7,87.5,26.7,30.5,4.92,0.12,562.0,14.3,45.4,92.2,29.0,31.5,600,606
1108,4.0,7.29,224.0,10.7,33.9,84.8,26.8,31.6,5.02,17.35,587.0,14.6,45.2,90.0,29.2,32.3,600,606
1119,4.08,4.68,209.0,10.8,35.2,86.3,26.6,30.8,5.0,10.16,617.0,14.5,52.2,104.5,29.0,27.8,600,606
1132,4.06,8.25,216.0,11.0,35.7,87.7,27.1,30.9,5.07,19.97,564.0,14.9,47.1,93.0,29.5,31.6,600,606
1135,4.06,0.04,186.0,10.7,34.7,85.4,26.3,30.8,5.03,0.12,558.0,14.5,45.5,90.5,28.8,31.8,600,606
1151,3.9,0.42,248.0,10.7,45.2,116.7,27.5,23.5,5.12,0.08,562.0,14.8,47.6,93.0,28.9,31.1,600,606
1159,3.59,7.11,211.0,10.5,44.7,124.4,29.1,23.4,5.04,18.27,556.0,14.4,45.5,90.4,28.5,31.5,600,606
1177,4.05,8.42,221.0,10.7,37.0,91.5,26.4,28.9,5.12,20.61,571.0,14.7,45.7,89.3,28.8,32.3,600,606
1197,3.89,9.34,245.0,10.9,50.0,128.5,27.9,21.7,5.19,18.77,587.0,14.8,47.7,92.0,28.6,31.1,600,606
1200,4.12,8.35,218.0,10.7,35.8,86.9,26.0,30.0,5.14,19.82,559.0,14.8,46.5,90.6,28.8,31.8,600,606
1238,3.48,7.53,213.0,10.8,46.9,122.2,28.3,23.1,5.13,19.74,530.0,14.6,47.4,91.5,28.1,30.7,600,606
