Lab Code,A_RBC,A_WBC,A_PLT,A_Hb,A_Hct,A_MCV,A_MCH,A_MCHC,B_RBC,B_WBC,B_PLT,B_Hb,B_Hct,B_MCV,B_MCH,B_MCHC,Brand code,Model code
737,3.98,8.1,204.0,10.7,32.2,81.0,26.8,33.2,4.61,19.6,546.0,14.6,43.8,95.0,31.7,33.4,400,405
797,4.12,8.57,224.0,10.8,33.8,82.0,26.1,31.9,5.12,21.16,590.0,14.7,45.2,88.3,28.7,32.5,400,405
804,4.11,7.35,227.0,10.8,34.2,83.3,26.3,31.6,5.06,20.41,564.0,14.5,45.9,90.7,28.7,31.7,400,405
810,,9.1,,11.0,33.1,78.5,26.2,33.1,4.43,20.9,565.0,14.6,44.1,86.3,30.1,34.8,400,405
827,4.03,8.6,178.0,10.6,31.8,79.0,26.4,33.4,5.06,21.3,520.0,14.7,43.0,85.0,29.0,34.1,400,405
878,3.92,8.4,195.0,10.4,30.8,78.0,26.4,33.7,4.94,21.4,499.0,14.7,42.1,85.0,29.0,34.0,400,405
881,4.11,8.3,233.0,10.7,32.8,80.0,26.0,32.6,4.68,20.7,503.0,13.7,39.4,84.0,29.3,34.8,400,405
921,4.17,7.91,249.0,10.6,32.4,77.6,25.4,32.8,5.08,19.33,604.0,14.4,41.9,82.5,28.3,34.3,400,405
960,4.21,8.6,244.0,10.8,32.0,76.0,25.6,33.7,5.21,20.3,,14.9,42.7,82.0,28.6,34.9,400,405
963,4.2,8.13,257.0,10.6,32.1,77.0,25.4,33.2,5.27,20.0,621.0,14.6,42.5,81.0,27.6,34.2,400,405
964,4.0,8.1,,10.6,31.1,78.0,26.6,34.2,4.92,20.7,515.0,14.6,41.3,84.0,29.8,35.5,400,405
967,3.99,8.6,230.0,10.6,31.7,79.0,26.5,33.4,4.96,21.5,550.0,14.5,41.7,84.0,29.3,34.9,400,405
972,4.12,,232.0,10.5,33.0,79.5,25.6,32.5,5.16,19.4,606.0,14.4,44.0,84.5,28.0,33.0,400,405
975,4.12,8.19,244.0,10.5,32.0,77.7,25.3,32.6,4.59,19.55,,14.0,,,30.3,,400,405
988,4.15,8.17,246.0,10.9,34.2,82.3,26.2,31.9,5.18,19.83,599.0,14.9,45.8,88.4,28.8,32.6,400,405
