Lab Code,A_RBC,A_WBC,A_PLT,A_Hb,A_Hct,A_MCV,A_MCH,A_MCHC,B_RBC,B_WBC,B_PLT,B_Hb,B_Hct,B_MCV,B_MCH,B_MCHC,Brand code,Model code
337,4.06,8.4,216.0,10.6,32.0,79.0,26.1,33.1,4.97,21.2,528.0,14.4,42.6,86.0,28.9,33.8,400,404
342,3.9,8.6,197.0,10.4,31.3,80.0,26.7,33.3,4.72,21.0,514.0,13.9,40.0,85.0,29.4,34.6,400,404
380,4.06,8.0,200.0,10.6,31.7,78.0,26.0,33.3,,19.8,576.0,14.7,42.8,102.0,,34.3,400,404
395,4.09,7.8,218.0,10.7,32.6,80.0,26.2,32.9,5.17,19.7,530.0,14.9,44.4,86.0,28.9,33.7,400,404
416,4.05,8.7,192.0,10.7,32.3,80.0,26.5,33.2,5.11,21.3,526.0,14.8,43.4,85.0,28.9,34.1,400,404
417,4.05,8.08,226.0,10.8,32.9,81.4,26.6,32.7,5.17,20.68,603.0,14.7,45.6,88.2,28.5,32.3,400,404
424,4.18,9.17,220.0,10.5,34.9,83.5,25.2,30.2,5.16,21.38,553.0,14.3,46.4,89.4,27.6,30.9,400,404
430,4.02,8.6,188.0,10.6,31.9,79.0,26.4,33.6,5.04,20.7,514.0,14.8,41.7,83.0,29.3,35.4,400,404
432,4.02,8.6,189.0,10.7,31.5,78.0,26.7,34.1,4.95,20.65,510.0,14.8,41.5,84.0,29.8,35.6,400,404
448,4.1,9.19,238.0,10.4,32.9,80.2,25.2,31.4,5.02,20.82,608.0,14.0,42.7,85.2,27.9,32.7,400,404
450,4.15,7.74,248.0,10.8,35.5,85.6,26.2,30.6,5.09,21.12,602.0,14.8,45.2,88.8,29.1,32.8,400,404
461,4.02,8.2,203.0,10.6,31.5,78.0,26.3,33.5,5.03,21.0,516.0,14.8,42.7,84.0,29.4,35.0,400,404
462,4.0,6.85,223.0,10.6,,,26.5,,5.1,19.55,572.0,14.6,44.9,88.0,28.6,32.5,400,404
463,4.0,7.71,244.0,10.8,,,27.0,27.9,5.03,20.05,582.0,14.7,44.4,88.3,29.3,33.2,400,404
464,4.16,8.5,201.0,10.9,33.2,80.0,26.2,32.8,5.13,21.9,522.0,14.9,44.0,86.0,29.0,33.8,400,404
482,4.13,7.97,222.0,10.8,34.2,82.8,26.2,31.7,5.07,20.27,565.0,14.7,45.7,90.1,29.0,32.2,400,404
490,,7.23,185.0,10.8,35.6,,28.5,30.3,5.13,19.51,563.0,14.7,45.3,88.3,28.7,32.5,400,404
505,4.11,8.4,217.0,11.0,32.8,80.0,26.8,33.6,5.11,20.8,535.0,15.1,43.5,85.0,26.9,34.8,400,404
537,4.05,8.5,215.0,10.8,32.5,80.0,26.6,33.2,5.05,21.4,548.0,14.9,43.3,86.0,29.5,34.3,400,404
572,4.14,8.6,232.0,10.9,34.2,82.7,26.3,31.8,5.16,21.18,580.0,14.7,46.1,89.4,28.6,32.0,400,404
625,4.2,8.8,200.0,10.8,32.5,77.0,25.7,33.2,5.16,20.5,526.0,14.8,43.4,84.0,28.7,34.1,400,404
696,4.17,7.6,227.0,10.9,34.4,82.3,26.2,31.9,5.15,19.66,601.0,14.9,45.5,88.3,28.9,32.7,400,404
703,4.07,8.3,206.0,10.7,32.2,79.0,26.4,33.3,5.08,20.6,539.0,14.6,43.0,85.0,28.7,33.9,400,404
