Lab Code,A_RBC,A_WBC,A_PLT,A_Hb,A_Hct,A_MCV,A_MCH,A_MCHC,B_RBC,B_WBC,B_PLT,B_Hb,B_Hct,B_MCV,B_MCH,B_MCHC,Brand code,Model code
4,4.22,7.36,192.0,10.9,37.0,87.7,25.9,29.5,5.26,17.99,550.0,14.8,49.1,93.4,28.2,30.2,600,604
11,4.13,7.13,170.0,10.8,36.3,87.9,26.1,29.8,5.16,18.22,548.0,14.6,48.1,93.2,28.3,30.4,600,604
13,4.19,7.08,209.0,10.8,36.0,86.8,25.8,29.7,5.23,17.78,588.0,14.7,48.0,91.4,28.0,30.7,600,604
15,4.23,7.12,220.0,10.8,36.1,86.3,25.8,29.9,5.25,17.6,600.0,14.5,48.1,91.7,27.7,30.1,600,604
19,4.18,6.98,221.0,10.9,36.7,87.7,26.0,29.7,5.08,16.99,580.0,14.7,61.8,121.7,29.0,23.8,600,604
21,4.14,7.84,218.0,10.8,36.6,88.5,26.1,29.5,4.35,16.37,567.0,14.5,56.2,110.9,31.9,25.8,600,604
57,4.23,7.2,230.0,10.9,37.4,88.3,26.0,29.3,5.23,18.31,617.0,14.9,47.9,91.5,28.3,30.6,600,604
68,4.21,7.32,228.0,10.8,36.1,85.8,25.6,29.9,5.3,17.86,621.0,14.7,48.2,91.0,27.7,30.5,600,604
75,4.23,7.16,225.0,11.2,36.3,85.7,26.3,30.6,5.29,18.17,605.0,15.1,47.2,89.1,28.5,32.1,600,604
83,4.05,7.14,196.0,10.6,35.2,87.0,26.2,30.1,5.23,17.77,600.0,14.6,48.0,91.7,28.0,30.4,600,604
84,4.18,7.18,225.0,11.1,36.0,86.1,26.7,31.0,5.2,17.4,611.0,15.1,46.9,90.1,29.0,32.2,600,604
85,4.26,7.71,230.0,10.9,37.7,88.6,25.6,28.9,5.37,18.92,613.0,14.8,50.3,93.6,27.6,29.4,600,604
118,4.16,7.18,224.0,11.0,36.3,87.2,26.4,30.3,5.23,7.61,613.0,15.0,47.9,91.5,28.7,31.3,600,604
119,4.21,8.63,215.0,10.7,36.0,85.4,25.3,29.7,5.17,22.5,572.0,14.4,46.8,90.6,27.8,30.8,600,604
145,4.0,6.95,205.0,10.6,34.4,86.1,26.3,30.5,5.08,0.36,570.0,14.5,46.5,91.5,28.5,31.2,600,604
154,4.14,7.52,192.0,10.9,37.0,89.4,26.3,29.5,5.18,18.39,537.0,14.8,48.9,94.4,28.6,30.3,600,604
167,4.24,7.12,212.0,10.9,36.9,87.1,25.7,29.5,5.22,18.06,570.0,14.7,47.8,91.5,28.1,30.8,600,604
177,4.19,7.45,233.0,11.1,35.0,83.5,26.5,31.7,5.24,18.56,588.0,14.9,46.0,87.7,28.4,32.4,600,604
182,4.23,7.21,195.0,10.8,37.0,87.5,25.6,29.2,5.21,17.8,560.0,14.7,48.1,92.4,28.2,30.6,600,604
184,4.09,7.27,214.0,10.9,34.6,84.7,26.6,31.5,5.09,18.0,539.0,14.7,45.6,89.5,28.8,32.2,600,604
197,3.72,7.0,194.0,10.6,43.7,117.4,28.5,24.3,5.16,18.29,563.0,14.3,45.9,88.9,28.2,31.8,600,604
205,4.0,7.3,217.0,10.6,40.8,102.0,26.6,26.1,5.03,17.83,587.0,14.6,45.4,90.3,29.0,32.1,600,604
208,4.14,7.2,222.0,10.8,35.2,85.1,26.1,30.7,5.18,18.32,588.0,14.9,46.0,89.4,28.9,32.4,600,604
